feature_id,internal_id,species,verdict,taxonomy
AB288266.1_mcrA,a0001,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina horonobensis
AB288268.1_mcrA,a0002,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina subterranea
AB300466.1_mcrA,a0003,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__Methanolinea tarda
AB300467.1_mcrA,a0004,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella paludicola
AB300777.1_mcrA,a0005,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter arboriphilus
AB300778.1_mcrA,a0006,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
AB300779.1_mcrA,a0007,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus chikugoensis
AB300780.1_mcrA,a0008,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii
AB300781.1_mcrA,a0009,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
AB300782.1_mcrA,a0010,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
AB300783.1_mcrA,a0011,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus thermophilus
AB300784.1_mcrA,a0012,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus palmolei
AB300785.1_mcrA,a0013,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis
AB300786.1_mcrA,a0014,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis
AB300787.1_mcrA,a0015,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis
AB353221.1_mcrA,a0016,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides alaskense
AB353222.1_mcrA,a0017,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium;s__Methanogenium organophilum
AB353224.1_mcrA,a0018,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosalsum;s__Methanosalsum zhilinae
AB353225.1_mcrA,a0019,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina thermophila
AB353226.1_mcrA,a0020,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus thermolithotrophicus
AB353227.1_mcrA,a0021,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris formicicus
AB353228.1_mcrA,a0022,yes,keep,d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris igneus
