seq.id	tax.srd
NJEM01000011.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagaceae;g__Candidatus Methanophagaceae;s__Candidatus Methanophagaceae archaeon
OQ603051.1_s	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanophagales;f__Methanophagales;g__ANME-1a-b;s__ANME-1a-b archaeon
OQ603052.1_s	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanophagales;f__Methanophagales;g__ANME-1a-b;s__ANME-1a-b archaeon
OQ603054.1_s	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanophagales;f__Methanophagales;g__ANME-1a-b;s__ANME-1a-b archaeon
OQ603053.1_s	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanophagales;f__Methanophagales;g__ANME-1d;s__ANME-1d archaeon
OQ603055.1_s	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanophagales;f__Methanophagales;g__ANME-1d;s__ANME-1d archaeon
OQ603056.1_s	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanophagales;f__Methanophagales;g__ANME-1d;s__ANME-1d archaeon
QCYW01000178.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanocomedenaceae;g__Candidatus Methanocomedens;s__Candidatus Methanocomedens archaeon
MZXQ01000116.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanocomedenaceae;g__Candidatus Methanomarinus;s__Candidatus Methanomarinus archaeon
PIXW01000224.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 archaeon;g__ANME-2 archaeon;s__ANME-2 archaeon
PQXF01000013.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanogasteraceae;g__Candidatus Methanogaster;s__Candidatus Methanogaster archaeon
PYCL02000282.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 archaeon;g__ANME-2 archaeon;s__ANME-2 archaeon
QNUZ01000002.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Archaeoglobi;o__Archaeoglobi;f__Archaeoglobi;g__Archaeoglobi;s__Archaeoglobi archaeon
QNVA01000056.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Archaeoglobi;o__Archaeoglobi;f__Archaeoglobi;g__Archaeoglobi;s__Archaeoglobi archaeon
QMVQ01000012.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Alkanophagales;f__Candidatus Alkanophagales;g__Methanophagales archaeon;s__Candidatus Alkanophagales archaeon
QMVQ01000070.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Alkanophagales;f__Candidatus Alkanophagales;g__Methanophagales archaeon;s__Candidatus Alkanophagales archaeon
