Feature ID	Taxon
a0010_AB300782.1_mcrA_Methanosarcina_mazei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
a0565_MRZU01000004.1_mcrA_product_or_note_2_Methanonatronarchaeum_thermophilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Methanonatronarchaeum;s__Methanonatronarchaeum thermophilum
a1178_NZ_PGCK01000014.1_mcrA_gene_1_Methanooceanicella_nereidis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanooceanicella;s__Methanooceanicella nereidis
a0208_CP002278.1_mcrA_product_or_note_2_Methanothermus_fervidus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanothermaceae (mrtA);g__Methanothermus (mrtA);s__Methanothermus fervidus (mrtA)
a0508_LMVN01000008.1_mcrA_product_or_note_1_Methanosphaera_cuniculi	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanosphaera (mrtA);s__Methanosphaera cuniculi (mrtA)
a0791_NZ_CEVWTP010000012.1_mcrA_gene_1_Methanobacterium_veterum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium veterum
a0161_BAAHXG010000001.1_mcrA_gene_1_Methanobacterium_movens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium movens
a0051_AB703629.1_mcrA_Methanolobus_profundi	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus profundi
a0492_LGFT01000100.1_mcrA_product_or_note_1_Methanothrix_harundinacea	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix harundinacea
a0297_CP091092.1_mcrA_gene_1_Methanomicrobium_antiquum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium antiquum
a0184_CP000559.1_mcrA_product_or_note_2_Methanocorpusculum_labreanum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum labreanum
a0134_AY260443.1_mcrA_Methanosarcina_lacustris	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina lacustris
a0111_AP011532.1_mcrA_gene_1_Methanocella_paludicola	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella paludicola
a1185_NZ_QFDM01000001.1_mcrA_gene_1_Methanoculleus_oceani	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus oceani
a1265_QMSF01000010.1_mcrA_gene_1_Thermoprotei_archaeon	d__Archaea;k__Thermoproteota;p__Thermoprotei;c__Thermoprotei incertae sedis;o__Thermoprotei incertae sedis;f__Thermoprotei incertae sedis;g__Thermoprotei incertae sedis;s__Thermoprotei archaeon
a0132_AY260439.1_mcrA_Methanosarcina_lacustris	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina lacustris
a0201_CP001994.1_mcrA_product_or_note_1_Methanohalophilus_mahii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus mahii
a0040_AB542760.1_mrtA_Methanobacterium_palustre	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium palustre (mrtA)
a0210_CP002551.1_mcrA_product_or_note_2_Methanobacterium_lacus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium lacus (mrtA)
a0699_NZ_CAMJXB010000001.1_mcrA_gene_1_Methanobrevibacter_gottschalkii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter gottschalkii
a0113_AP017646.1_mcrA_product_or_note_1_Methanosarcina_thermophila	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina thermophila
a0497_LGHE01000148.1_mcrA_product_or_note_1_Methanoculleus_marisnigri	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus marisnigri
a0246_CP009520.1_mcrA_product_or_note_1_Methanosarcina_vacuolata	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina vacuolata
a0506_LMVM01000001.1_mcrA_product_or_note_1_Methanobacterium_bryantii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium bryantii (mrtA)
a0392_FR745248.1_mcrA_Methanoplanus_limicola	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola
a1276_QNVE01000024.1_mcrA_gene_1_Candidatus_Nezhaarchaeota_archaeon	d__Archaea;k__Candidatus Nezhaarchaeota;p__Candidatus Nezhaarchaeota incertae sedis;c__Candidatus Nezhaarchaeota incertae sedis;o__Candidatus Nezhaarchaeota incertae sedis;f__Candidatus Nezhaarchaeota incertae sedis;g__Candidatus Nezhaarchaeota incertae sedis;s__Candidatus Nezhaarchaeota archaeon
a0007_AB300779.1_mcrA_Methanoculleus_chikugoensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus chikugoensis
a0432_KC865050.1_mcrA_Methanobrevibacter_boviskoreani	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter boviskoreani
a1177_NZ_OBDR01000004.1_mcrA_gene_1_Methanohalophilus_euhalobius	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus euhalobius
a1199_NZ_SUTE01000082.1_mcrA_gene_1_Methanobrevibacter_millerae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobrevibacter (mrtA);s__Methanobrevibacter millerae (mrtA)
a1258_PYCL02000282.1_mcrA_gene_1_ANME-2_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a1286_RXIE01000134.1_mcrA_product_or_note_1_Candidatus_Methanophagales_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagales incertae sedis;g__Candidatus Methanophagales incertae sedis;s__Candidatus Methanophagales archaeon
a0254_CP014214.1_mcrA_product_or_note_1_Thermoplasmata_archaeon	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmata incertae sedis;f__Thermoplasmata incertae sedis;g__Thermoplasmata incertae sedis;s__Thermoplasmata archaeon
a0174_CM001436.1_mcrA_product_or_note_1_Methanoplanus_limicola	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola
a0526_LVVP01000002.1_mcrA_product_or_note_1_Methanomethylophilus_alvi	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvi
a1279_QYPO01000102.1_mcrA_gene_1_ANME-2_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
